4731565033672452|87255319470317033971|1|3000|3000|ACT|745|11/22
4026108030637089|88117363058621213982|1|4000|4000|ACT|746|09/25
4495998406062710|33764803190524866795|1|2500|2500|ACT|660|11/23
4274855196837692|47806046698090078287|1|4600|4600|CAD|157|11/21
4218141448677783|22637709332141204452|1|3200|3200|SUS|673|08/24
4010238084736772|05790803399822514614|1|5000|5000|ACT|707|09/20
4340331523954725|45258968247189933532|1|1500|1500|ROB|711|11/21
4244297327035937|03548754404030930987|1|2000|2000|ACT|563|03/23
4361100782654233|14407674390938572580|1|3500|3500|CAN|667|04/25
4502481859152511|95077235271156960785|1|1500|1500|ROB|914|07/24
4492634544972758|24289355957364952773|1|6000|6000|ACT|755|05/22
4202922083209505|40617056612041232899|1|3200|3200|ACT|992|04/25
4729224075258630|32919858328900692581|1|1600|1600|ACT|431|06/23
4853680993153179|64539647979810016387|1|1800|1800|ACT|992|10/21
4491922121320496|14646623545356381490|1|2000|2000|ACT|942|03/23
4134973410017189|25688099813722130982|1|4600|4600|ACT|133|05/20
4692674377431553|62165653655565226379|1|3200|3200|ROB|590|11/25
4492179311221386|26292572088910651544|1|5000|5000|SUS|613|06/25
4294666519511476|81387397913343948236|1|1500|1500|CAD|946|04/20
4492179311221385|93539891137761166659|1|2000|2000|ACT|538|12/24
4434072148859439|89836956100231063446|1|3000|3000|ACT|961|04/25
4423203739363639|75122872940564841491|1|4000|4000|ACT|693|07/21
4675429610350396|53141460179250354990|1|2500|2500|CAN|851|01/23
4565615766185288|21205687899861956962|1|4600|4600|ACT|657|09/24
4260264924762403|92509381029759309377|1|3200|3200|SUS|510|10/20
4923486023399519|14465602554938046435|1|5000|5000|ACT|773|12/22
4262113129343352|43198736725389614392|1|6000|6000|ACT|535|10/23
4086114587599307|81874962714172182042|1|4000|4000|ACT|929|08/20
4872558840781110|82418206962112722719|1|3200|3200|ACT|420|08/21
4049771977040840|54808124812152786391|1|1000|1000|CAN|897|09/20
